Epoach at 0/300, Train loss: 0.5963688760806917, Acc: 0.07829618890003787
Epoach at 1/300, Train loss: 0.7894524495677233, Acc: 0.05691360849880691
Epoach at 2/300, Train loss: 0.8384438040345822, Acc: 0.04519858275847751
Epoach at 3/300, Train loss: 0.8326801152737753, Acc: 0.04088790536682613
Epoach at 4/300, Train loss: 0.8730259365994236, Acc: 0.034539233368652354
Epoach at 5/300, Train loss: 0.8355619596541787, Acc: 0.03666627173190158
Epoach at 6/300, Train loss: 0.8672622478386167, Acc: 0.032825524423754526
Epoach at 7/300, Train loss: 0.887435158501441, Acc: 0.02785156338874476
Epoach at 8/300, Train loss: 0.8672622478386167, Acc: 0.02950593659685393
Epoach at 9/300, Train loss: 0.887435158501441, Acc: 0.02832765818355063
Epoach at 10/300, Train loss: 0.8442074927953891, Acc: 0.03306933943476388
Epoach at 11/300, Train loss: 0.8845533141210374, Acc: 0.02700039895905198
Epoach at 12/300, Train loss: 0.8903170028818443, Acc: 0.02890683515339832
Epoach at 13/300, Train loss: 0.8845533141210374, Acc: 0.021844565118424142
Epoach at 14/300, Train loss: 0.9248991354466859, Acc: 0.024264143539866383
Epoach at 15/300, Train loss: 0.8845533141210374, Acc: 0.025061432402570243
Epoach at 16/300, Train loss: 0.881671469740634, Acc: 0.0269495284452562
Epoach at 17/300, Train loss: 0.9162536023054755, Acc: 0.02066756904236865
Epoach at 18/300, Train loss: 0.8960806916426514, Acc: 0.02246926055157219
Epoach at 19/300, Train loss: 0.8960806916426514, Acc: 0.023045385998719362
Epoach at 20/300, Train loss: 0.8701440922190202, Acc: 0.024638661488246505
Epoach at 21/300, Train loss: 0.8787896253602305, Acc: 0.02473056877471013
Epoach at 22/300, Train loss: 0.919135446685879, Acc: 0.020207421324266825
Epoach at 23/300, Train loss: 0.8931988472622479, Acc: 0.021646038322008995
Epoach at 24/300, Train loss: 0.8672622478386167, Acc: 0.024094993942580925
Epoach at 25/300, Train loss: 0.8787896253602305, Acc: 0.028043687291464822
Epoach at 26/300, Train loss: 0.8643804034582133, Acc: 0.026611028777462263
Epoach at 27/300, Train loss: 0.9162536023054755, Acc: 0.020119369498547972
Epoach at 28/300, Train loss: 0.887435158501441, Acc: 0.021046637030259333
Epoach at 29/300, Train loss: 0.8903170028818443, Acc: 0.022177427922786142
Epoach at 30/300, Train loss: 0.9047262247838617, Acc: 0.021006182626748634
Epoach at 31/300, Train loss: 0.8931988472622479, Acc: 0.021307762842614642
Epoach at 32/300, Train loss: 0.8903170028818443, Acc: 0.02255003799648381
Epoach at 33/300, Train loss: 0.8787896253602305, Acc: 0.026248346028049672
Epoach at 34/300, Train loss: 0.887435158501441, Acc: 0.019879702029293483
Epoach at 35/300, Train loss: 0.9018443804034583, Acc: 0.028145430627233355
Epoach at 36/300, Train loss: 0.9018443804034583, Acc: 0.022486811542888882
Epoach at 37/300, Train loss: 0.9018443804034583, Acc: 0.02040474341333084
Epoach at 38/300, Train loss: 0.9018443804034583, Acc: 0.0171313174970083
Epoach at 39/300, Train loss: 0.887435158501441, Acc: 0.020626155918759298
Epoach at 40/300, Train loss: 0.8903170028818443, Acc: 0.02308208477819172
Epoach at 41/300, Train loss: 0.8989625360230548, Acc: 0.018566908906833927
Epoach at 42/300, Train loss: 0.8845533141210374, Acc: 0.020704122020205433
Epoach at 43/300, Train loss: 0.8960806916426514, Acc: 0.022384844147549238
Epoach at 44/300, Train loss: 0.8931988472622479, Acc: 0.026174014006336073
Epoach at 45/300, Train loss: 0.9133717579250721, Acc: 0.024168069086775656
Epoach at 46/300, Train loss: 0.881671469740634, Acc: 0.023100996939052078
Epoach at 47/300, Train loss: 0.9104899135446686, Acc: 0.016659198872551795
Epoach at 48/300, Train loss: 0.9018443804034583, Acc: 0.018133543449408384
Epoach at 49/300, Train loss: 0.887435158501441, Acc: 0.028129403848641203
Epoach at 50/300, Train loss: 0.9018443804034583, Acc: 0.01826122067540197
Epoach at 51/300, Train loss: 0.9018443804034583, Acc: 0.02157639954876831
Epoach at 52/300, Train loss: 0.9104899135446686, Acc: 0.017959293849186524
Epoach at 53/300, Train loss: 0.8989625360230548, Acc: 0.0202472055271182
Epoach at 54/300, Train loss: 0.9047262247838617, Acc: 0.017160339784403185
Epoach at 55/300, Train loss: 0.8759077809798271, Acc: 0.018747757322034164
Epoach at 56/300, Train loss: 0.887435158501441, Acc: 0.020209822485894393
Epoach at 57/300, Train loss: 0.9104899135446686, Acc: 0.018072220243406226
Epoach at 58/300, Train loss: 0.9018443804034583, Acc: 0.01631351578491136
Epoach at 59/300, Train loss: 0.8730259365994236, Acc: 0.028209328953573955
Epoach at 60/300, Train loss: 0.9047262247838617, Acc: 0.017504730529116965
Epoach at 61/300, Train loss: 0.8989625360230548, Acc: 0.01923669717007824
Epoach at 62/300, Train loss: 0.8845533141210374, Acc: 0.027648036270431893
Epoach at 63/300, Train loss: 0.8931988472622479, Acc: 0.018969966934913346
Epoach at 64/300, Train loss: 0.8931988472622479, Acc: 0.017773260259319107
Epoach at 65/300, Train loss: 0.9018443804034583, Acc: 0.017407071273655816
Epoach at 66/300, Train loss: 0.9076080691642652, Acc: 0.015396778824908246
Epoach at 67/300, Train loss: 0.9047262247838617, Acc: 0.025791968105119314
Epoach at 68/300, Train loss: 0.8845533141210374, Acc: 0.0167107694617953
Epoach at 69/300, Train loss: 0.9162536023054755, Acc: 0.01666880416320449
Epoach at 70/300, Train loss: 0.9047262247838617, Acc: 0.01857611945091132
Epoach at 71/300, Train loss: 0.8989625360230548, Acc: 0.017210842871313824
Epoach at 72/300, Train loss: 0.8903170028818443, Acc: 0.016068044503930665
Epoach at 73/300, Train loss: 0.9162536023054755, Acc: 0.0166258251240171
Epoach at 74/300, Train loss: 0.881671469740634, Acc: 0.02192286399457743
Epoach at 75/300, Train loss: 0.9133717579250721, Acc: 0.019309756854855017
Epoach at 76/300, Train loss: 0.8989625360230548, Acc: 0.018588129612378324
Epoach at 77/300, Train loss: 0.8931988472622479, Acc: 0.0179043384955321
Epoach at 78/300, Train loss: 0.8989625360230548, Acc: 0.0277089794860879
Epoach at 79/300, Train loss: 0.8787896253602305, Acc: 0.018802468478615244
Epoach at 80/300, Train loss: 0.8960806916426514, Acc: 0.02283456119237956
Epoach at 81/300, Train loss: 0.9248991354466859, Acc: 0.015314879348324425
Epoach at 82/300, Train loss: 0.9133717579250721, Acc: 0.01602172190531745
Epoach at 83/300, Train loss: 0.9104899135446686, Acc: 0.017454310308444052
Epoach at 84/300, Train loss: 0.9047262247838617, Acc: 0.016717368661917167
Epoach at 85/300, Train loss: 0.9133717579250721, Acc: 0.016242162736674896
Epoach at 86/300, Train loss: 0.9076080691642652, Acc: 0.018441510168228953
Epoach at 87/300, Train loss: 0.9076080691642652, Acc: 0.02239559289834513
Epoach at 88/300, Train loss: 0.8903170028818443, Acc: 0.016349625174074248
Epoach at 89/300, Train loss: 0.8787896253602305, Acc: 0.016717454640167936
Epoach at 90/300, Train loss: 0.8989625360230548, Acc: 0.01723106407986079
Epoach at 91/300, Train loss: 0.8960806916426514, Acc: 0.024322788938493482
Epoach at 92/300, Train loss: 0.881671469740634, Acc: 0.017445350212305356
Epoach at 93/300, Train loss: 0.8989625360230548, Acc: 0.0163481551551982
Epoach at 94/300, Train loss: 0.9018443804034583, Acc: 0.022783585659214844
Epoach at 95/300, Train loss: 0.9076080691642652, Acc: 0.02119505951491316
Epoach at 96/300, Train loss: 0.8787896253602305, Acc: 0.017469103650262403
Epoach at 97/300, Train loss: 0.8903170028818443, Acc: 0.01918734685922047
Epoach at 98/300, Train loss: 0.9047262247838617, Acc: 0.019978294274047747
Epoach at 99/300, Train loss: 0.9076080691642652, Acc: 0.018894720230970843
Epoach at 100/300, Train loss: 0.9018443804034583, Acc: 0.01744024674710348
Epoach at 101/300, Train loss: 0.8931988472622479, Acc: 0.018241409699687523
Epoach at 102/300, Train loss: 0.8989625360230548, Acc: 0.018047273015640998
Epoach at 103/300, Train loss: 0.9047262247838617, Acc: 0.019156281588271647
Epoach at 104/300, Train loss: 0.8960806916426514, Acc: 0.018010959629259294
Epoach at 105/300, Train loss: 0.881671469740634, Acc: 0.01663425404421706
Epoach at 106/300, Train loss: 0.8903170028818443, Acc: 0.016837138807610407
Epoach at 107/300, Train loss: 0.9104899135446686, Acc: 0.016583621039149225
Epoach at 108/300, Train loss: 0.8903170028818443, Acc: 0.015636711632526917
Epoach at 109/300, Train loss: 0.9018443804034583, Acc: 0.01857453731368014
Epoach at 110/300, Train loss: 0.9076080691642652, Acc: 0.017554234526987036
Epoach at 111/300, Train loss: 0.9220172910662824, Acc: 0.015497530975800426
Epoach at 112/300, Train loss: 0.887435158501441, Acc: 0.0171697645085174
Epoach at 113/300, Train loss: 0.9104899135446686, Acc: 0.016225512170568324
Epoach at 114/300, Train loss: 0.9162536023054755, Acc: 0.016227717746403445
Epoach at 115/300, Train loss: 0.8989625360230548, Acc: 0.016975906158408275
