Epoach at 0/300, Train loss: 0.6506598322651115, Acc: 0.06985640488074935
Epoach at 1/300, Train loss: 0.8452656093552577, Acc: 0.044751630307450684
Epoach at 2/300, Train loss: 0.8878347496904656, Acc: 0.03977840003599168
Epoach at 3/300, Train loss: 0.8904218695217772, Acc: 0.033410253895348095
Epoach at 4/300, Train loss: 0.9132446556279163, Acc: 0.028742779387219093
Epoach at 5/300, Train loss: 0.8799456599515559, Acc: 0.02852181591244768
Epoach at 6/300, Train loss: 0.9230498195235215, Acc: 0.017883907018874087
Epoach at 7/300, Train loss: 0.9294654311077093, Acc: 0.022621253205580734
Epoach at 8/300, Train loss: 0.911373271682182, Acc: 0.02161166256753297
Epoach at 9/300, Train loss: 0.9411026886699014, Acc: 0.02209144407553513
Epoach at 10/300, Train loss: 0.8843142186404152, Acc: 0.02337471331616342
Epoach at 11/300, Train loss: 0.9277060578117164, Acc: 0.01482783485984711
Epoach at 12/300, Train loss: 0.9468025691703813, Acc: 0.02383295294864367
Epoach at 13/300, Train loss: 0.9433053890340255, Acc: 0.008030271869101534
Epoach at 14/300, Train loss: 0.9807579290216598, Acc: 0.01477029457962743
Epoach at 15/300, Train loss: 0.9246021261138359, Acc: 0.013357290992971694
Epoach at 16/300, Train loss: 0.9351516241268643, Acc: 0.016614056028101933
Epoach at 17/300, Train loss: 0.9667669965967692, Acc: 0.01055439134332116
Epoach at 18/300, Train loss: 0.9392217618889095, Acc: 0.011924776183936869
Epoach at 19/300, Train loss: 0.9470889592645565, Acc: 0.010480684729851255
Epoach at 20/300, Train loss: 0.9126657079055558, Acc: 0.012253117368317221
Epoach at 21/300, Train loss: 0.9304596818053981, Acc: 0.0192973283801845
Epoach at 22/300, Train loss: 0.9619055228951302, Acc: 0.01237360714036273
Epoach at 23/300, Train loss: 0.9388307351793235, Acc: 0.008974724980972678
Epoach at 24/300, Train loss: 0.925845008667495, Acc: 0.011849422863532669
Epoach at 25/300, Train loss: 0.9359157616916802, Acc: 0.020698015012752646
Epoach at 26/300, Train loss: 0.9143299370586238, Acc: 0.020030660650391986
Epoach at 27/300, Train loss: 0.9710904865357639, Acc: 0.012114788707764413
Epoach at 28/300, Train loss: 0.9447261054885532, Acc: 0.012389238252514392
Epoach at 29/300, Train loss: 0.949589252586662, Acc: 0.015099435394282755
Epoach at 30/300, Train loss: 0.962940294755128, Acc: 0.013718063288624996
Epoach at 31/300, Train loss: 0.9508941901278993, Acc: 0.009638155703195435
Epoach at 32/300, Train loss: 0.9383697979014253, Acc: 0.011252563673475595
Epoach at 33/300, Train loss: 0.9281580960080721, Acc: 0.01966267232294181
Epoach at 34/300, Train loss: 0.9291926999188281, Acc: 0.006307623176241334
Epoach at 35/300, Train loss: 0.95531152155903, Acc: 0.0161832264691421
Epoach at 36/300, Train loss: 0.9455619424964932, Acc: 0.010932657594077166
Epoach at 37/300, Train loss: 0.9498985720734772, Acc: 0.009924694982681247
Epoach at 38/300, Train loss: 0.948599898107122, Acc: 0.010700463982142815
Epoach at 39/300, Train loss: 0.9296366409936133, Acc: 0.013507788078419214
Epoach at 40/300, Train loss: 0.9409178781299024, Acc: 0.011141952911267697
Epoach at 41/300, Train loss: 0.9523519440501904, Acc: 0.011577903305517615
Epoach at 42/300, Train loss: 0.9248337792748839, Acc: 0.013859946443202927
Epoach at 43/300, Train loss: 0.9498196209632203, Acc: 0.013746964047844774
Epoach at 44/300, Train loss: 0.9446444946417681, Acc: 0.01807757236971691
Epoach at 45/300, Train loss: 0.9560154591966079, Acc: 0.019119059737360403
Epoach at 46/300, Train loss: 0.9231053193450043, Acc: 0.008968971466726542
Epoach at 47/300, Train loss: 0.9693676482738702, Acc: 0.0034912952837970884
Epoach at 48/300, Train loss: 0.9453025897499234, Acc: 0.0034640579643231417
Epoach at 49/300, Train loss: 0.9429844932846172, Acc: 0.014763277354926208
Epoach at 50/300, Train loss: 0.9541786745808982, Acc: 0.011662827930246837
Epoach at 51/300, Train loss: 0.9502595271175415, Acc: 0.013555911361963742
Epoach at 52/300, Train loss: 0.9659320857620302, Acc: 0.009695634996608814
Epoach at 53/300, Train loss: 0.9554369688681149, Acc: 0.013811072428571982
Epoach at 54/300, Train loss: 0.9559368594871158, Acc: 0.010995497922416636
Epoach at 55/300, Train loss: 0.9260726848618278, Acc: 0.011071751410565971
Epoach at 56/300, Train loss: 0.942864451696759, Acc: 0.00905290233187211
Epoach at 57/300, Train loss: 0.9656134889264482, Acc: 0.012765988727976334
Epoach at 58/300, Train loss: 0.9524648998931926, Acc: 0.005750288830887469
Epoach at 59/300, Train loss: 0.9303470565085432, Acc: 0.018714927566803808
Epoach at 60/300, Train loss: 0.9624575410448014, Acc: 0.010408041925287152
Epoach at 61/300, Train loss: 0.9442625168598099, Acc: 0.01216250670789946
Epoach at 62/300, Train loss: 0.9433512288094303, Acc: 0.02020617238579043
Epoach at 63/300, Train loss: 0.9450478290995684, Acc: 0.011290341602520501
Epoach at 64/300, Train loss: 0.936942006609986, Acc: 0.012428895969306129
Epoach at 65/300, Train loss: 0.9538536380937642, Acc: 0.006924981266769088
Epoach at 66/300, Train loss: 0.9534906895035546, Acc: 0.003680264801396797
Epoach at 67/300, Train loss: 0.9597681664317671, Acc: 0.015747926975938662
Epoach at 68/300, Train loss: 0.9287787398632, Acc: 0.011691715365869748
Epoach at 69/300, Train loss: 0.9594488435925524, Acc: 0.0031080105472371077
Epoach at 70/300, Train loss: 0.960612723128357, Acc: 0.012082680626373517
Epoach at 71/300, Train loss: 0.9576771023511428, Acc: 0.0029410638460191704
Epoach at 72/300, Train loss: 0.9433536678864063, Acc: 0.01049467192199845
Epoach at 73/300, Train loss: 0.9656254860257258, Acc: 0.0017322592736380565
Epoach at 74/300, Train loss: 0.9344150012998877, Acc: 0.011045487483466794
Epoach at 75/300, Train loss: 0.9691729781774595, Acc: 0.013584942418846748
