Epoach at 0/300, Train loss: 0.5763688760806917, Acc: 0.08649819014517329
Epoach at 1/300, Train loss: 0.7694524495677233, Acc: 0.07022012688143844
Epoach at 2/300, Train loss: 0.8184438040345822, Acc: 0.056609143935258364
Epoach at 3/300, Train loss: 0.8126801152737753, Acc: 0.048614827473623216
Epoach at 4/300, Train loss: 0.8224156239743308, Acc: 0.04054242405378237
Epoach at 5/300, Train loss: 0.8155619596541787, Acc: 0.05050048087739286
Epoach at 6/300, Train loss: 0.8081265412615867, Acc: 0.048065557627895716
Epoach at 7/300, Train loss: 0.8503610535955703, Acc: 0.0410623897120075
Epoach at 8/300, Train loss: 0.8068161038200148, Acc: 0.04343305917765488
Epoach at 9/300, Train loss: 0.8320080558903694, Acc: 0.03588832060956558
Epoach at 10/300, Train loss: 0.8242074927953891, Acc: 0.045313064443477484
Epoach at 11/300, Train loss: 0.8246161003731199, Acc: 0.04077329654674373
Epoach at 12/300, Train loss: 0.8429251609939538, Acc: 0.03894695701484106
Epoach at 13/300, Train loss: 0.8162723724061178, Acc: 0.03751725728945271
Epoach at 14/300, Train loss: 0.8674105512505281, Acc: 0.03491875748642026
Epoach at 15/300, Train loss: 0.8321760905750364, Acc: 0.03168249646442237
Epoach at 16/300, Train loss: 0.8232185498755467, Acc: 0.041204658612995854
Epoach at 17/300, Train loss: 0.8640189222728996, Acc: 0.029376611503501654
Epoach at 18/300, Train loss: 0.8524843399841556, Acc: 0.029603741934895032
Epoach at 19/300, Train loss: 0.8283121809700404, Acc: 0.02979832499451056
Epoach at 20/300, Train loss: 0.8124806253974108, Acc: 0.033303991417499484
Epoach at 21/300, Train loss: 0.833892604643479, Acc: 0.0406473716199702
Epoach at 22/300, Train loss: 0.8596803845389769, Acc: 0.03338793535051235
Epoach at 23/300, Train loss: 0.8295467352438642, Acc: 0.032746817471688956
Epoach at 24/300, Train loss: 0.8243730340170652, Acc: 0.03657373196205908
Epoach at 25/300, Train loss: 0.8249898018602897, Acc: 0.043746998551018886
Epoach at 26/300, Train loss: 0.8171297344281093, Acc: 0.03884248905082861
Epoach at 27/300, Train loss: 0.879440606183699, Acc: 0.0334745146160081
Epoach at 28/300, Train loss: 0.8490254068300368, Acc: 0.03149707294758811
Epoach at 29/300, Train loss: 0.851279796007706, Acc: 0.028187516178897185
Epoach at 30/300, Train loss: 0.8441751195729847, Acc: 0.029094019847316875
Epoach at 31/300, Train loss: 0.8344477103496466, Acc: 0.02832298222494583
Epoach at 32/300, Train loss: 0.8436050495354418, Acc: 0.0332151308900663
Epoach at 33/300, Train loss: 0.8411568849789669, Acc: 0.03580357186484851
Epoach at 34/300, Train loss: 0.8240195254441063, Acc: 0.03405595046143805
Epoach at 35/300, Train loss: 0.8478267666428425, Acc: 0.041780936772538184
Epoach at 36/300, Train loss: 0.851696266252633, Acc: 0.03458389793879051
Epoach at 37/300, Train loss: 0.8358808366346406, Acc: 0.026677890562019718
Epoach at 38/300, Train loss: 0.8430301827745939, Acc: 0.024917726667880887
Epoach at 39/300, Train loss: 0.8405118389717166, Acc: 0.03224895499571773
Epoach at 40/300, Train loss: 0.8496886515028363, Acc: 0.03699237912928166
Epoach at 41/300, Train loss: 0.8366479737859497, Acc: 0.03416744527574792
Epoach at 42/300, Train loss: 0.8240537542206767, Acc: 0.03146253316823897
Epoach at 43/300, Train loss: 0.8530633350277724, Acc: 0.029570220901649416
Epoach at 44/300, Train loss: 0.8455664605417713, Acc: 0.03845402782300623
Epoach at 45/300, Train loss: 0.8464723312671996, Acc: 0.0357031473565151
Epoach at 46/300, Train loss: 0.8161424676696604, Acc: 0.031602608451186114
Epoach at 47/300, Train loss: 0.8437713466376274, Acc: 0.03191065955094147
Epoach at 48/300, Train loss: 0.845017742114888, Acc: 0.03106074390680899
Epoach at 49/300, Train loss: 0.8193831646460672, Acc: 0.03995354496592221
Epoach at 50/300, Train loss: 0.8588903389508914, Acc: 0.02663151558025706
Epoach at 51/300, Train loss: 0.8531345478019712, Acc: 0.037407495723752925
Epoach at 52/300, Train loss: 0.8530855778468684, Acc: 0.025656747576128035
Epoach at 53/300, Train loss: 0.8574880378794715, Acc: 0.03507579094052208
Epoach at 54/300, Train loss: 0.8433228217864304, Acc: 0.03311957521818807
Epoach at 55/300, Train loss: 0.8147588719442591, Acc: 0.029490345974764673
Epoach at 56/300, Train loss: 0.8359460597592705, Acc: 0.03197215150789268
Epoach at 57/300, Train loss: 0.8753320194285663, Acc: 0.03103076625026986
Epoach at 58/300, Train loss: 0.8534905426089934, Acc: 0.029130672246587604
Epoach at 59/300, Train loss: 0.8337987599399798, Acc: 0.03966078844671814
Epoach at 60/300, Train loss: 0.8555091564495505, Acc: 0.02539814074851564
Epoach at 61/300, Train loss: 0.8539031142410259, Acc: 0.03467647828085069
Epoach at 62/300, Train loss: 0.8352024945076827, Acc: 0.03366849433393501
Epoach at 63/300, Train loss: 0.8330694191814343, Acc: 0.03259015816247318
Epoach at 64/300, Train loss: 0.8418256545986061, Acc: 0.02432649026944219
Epoach at 65/300, Train loss: 0.8534881616304985, Acc: 0.02895747236235774
Epoach at 66/300, Train loss: 0.8684900248640275, Acc: 0.03096039175632119
Epoach at 67/300, Train loss: 0.8536306389113831, Acc: 0.041610954277737054
Epoach at 68/300, Train loss: 0.8369999923312066, Acc: 0.027124019732789526
Epoach at 69/300, Train loss: 0.8707564151673428, Acc: 0.02331752520609083
Epoach at 70/300, Train loss: 0.8648645644936608, Acc: 0.025691621520615465
Epoach at 71/300, Train loss: 0.8447257753960382, Acc: 0.02701952198688629
Epoach at 72/300, Train loss: 0.8429266849977215, Acc: 0.02926496604936144
Epoach at 73/300, Train loss: 0.8537759291870829, Acc: 0.02982291810706112
Epoach at 74/300, Train loss: 0.846283731887361, Acc: 0.03717147452582293
Epoach at 75/300, Train loss: 0.8634198579785194, Acc: 0.03072659777023365
Epoach at 76/300, Train loss: 0.8383685446329643, Acc: 0.03139416686552674
Epoach at 77/300, Train loss: 0.8316237739394049, Acc: 0.032487298071352436
Epoach at 78/300, Train loss: 0.856301483013877, Acc: 0.039229338883924936
Epoach at 79/300, Train loss: 0.824444655409999, Acc: 0.0322526433980882
Epoach at 80/300, Train loss: 0.8325323432902791, Acc: 0.03252695150452887
Epoach at 81/300, Train loss: 0.872840946067525, Acc: 0.024326580968232887
Epoach at 82/300, Train loss: 0.8666424395480756, Acc: 0.026558283437191563
Epoach at 83/300, Train loss: 0.8728664971784803, Acc: 0.026445091425905468
Epoach at 84/300, Train loss: 0.8474858221986891, Acc: 0.030696109322600595
Epoach at 85/300, Train loss: 0.8716915069769455, Acc: 0.031297528257190996
Epoach at 86/300, Train loss: 0.8423418672348736, Acc: 0.026862727926222144
Epoach at 87/300, Train loss: 0.8667693147360138, Acc: 0.031014855719419206
Epoach at 88/300, Train loss: 0.8360989034272139, Acc: 0.03049528031307529
Epoach at 89/300, Train loss: 0.8368800186437193, Acc: 0.030112167120968723
Epoach at 90/300, Train loss: 0.8530769101306263, Acc: 0.02604536049097752
Epoach at 91/300, Train loss: 0.8420081702293603, Acc: 0.03990152959646992
Epoach at 92/300, Train loss: 0.8258370097388693, Acc: 0.028164047303509493
Epoach at 93/300, Train loss: 0.8627617297560279, Acc: 0.027055995635327706
Epoach at 94/300, Train loss: 0.8655649616456087, Acc: 0.02940314793227461
Epoach at 95/300, Train loss: 0.8548032896248211, Acc: 0.03053751448874031
Epoach at 96/300, Train loss: 0.8336919209001169, Acc: 0.023501345546821182
Epoach at 97/300, Train loss: 0.8331428477480907, Acc: 0.02802837371929942
Epoach at 98/300, Train loss: 0.8627080178142178, Acc: 0.02705678631459907
Epoach at 99/300, Train loss: 0.8610404498264796, Acc: 0.03320041215400195
Epoach at 100/300, Train loss: 0.8346150091689838, Acc: 0.026053693116209573
Epoach at 101/300, Train loss: 0.8337216275736462, Acc: 0.029276637462704796
Epoach at 102/300, Train loss: 0.8344078069985165, Acc: 0.0331925287014737
Epoach at 103/300, Train loss: 0.847650707542079, Acc: 0.0275009353722187
Epoach at 104/300, Train loss: 0.8395587466763481, Acc: 0.024207629344355296
Epoach at 105/300, Train loss: 0.8262755785845902, Acc: 0.024767799523059304
Epoach at 106/300, Train loss: 0.852488750980132, Acc: 0.02805281686455315
Epoach at 107/300, Train loss: 0.8598707382281031, Acc: 0.023358291307645135
Epoach at 108/300, Train loss: 0.8499012913070927, Acc: 0.023539372939136202
Epoach at 109/300, Train loss: 0.8598260887202962, Acc: 0.029755642001407658
Epoach at 110/300, Train loss: 0.8563162322201698, Acc: 0.02832177109775162
Epoach at 111/300, Train loss: 0.867566199750849, Acc: 0.031124218011305483
Epoach at 112/300, Train loss: 0.841428936382544, Acc: 0.024259472013004012
Epoach at 113/300, Train loss: 0.8634877380734794, Acc: 0.024145677756640622
Epoach at 114/300, Train loss: 0.8659522256086303, Acc: 0.0241865572306499
Epoach at 115/300, Train loss: 0.8452793223174424, Acc: 0.027780874603510114
Epoach at 116/300, Train loss: 0.8403845847809783, Acc: 0.023944449398012695
Epoach at 117/300, Train loss: 0.8453936558414139, Acc: 0.0286100826965629
Epoach at 118/300, Train loss: 0.8560014684233862, Acc: 0.04246448929987954
Epoach at 119/300, Train loss: 0.8387307046262548, Acc: 0.03192718319063427
Epoach at 120/300, Train loss: 0.8281875345781392, Acc: 0.024885578162553875
Epoach at 121/300, Train loss: 0.8406834452463143, Acc: 0.025857258820399378
Epoach at 122/300, Train loss: 0.8834414379590666, Acc: 0.027007363055784866
Epoach at 123/300, Train loss: 0.8557797520214525, Acc: 0.030989898598181263
Epoach at 124/300, Train loss: 0.8333143531074363, Acc: 0.03116092291292124
Epoach at 125/300, Train loss: 0.8488352573802467, Acc: 0.02334279754021789
Epoach at 126/300, Train loss: 0.8391873909788138, Acc: 0.032340483020527395
Epoach at 127/300, Train loss: 0.8370104510087644, Acc: 0.030341644221606515
Epoach at 128/300, Train loss: 0.8629742266146366, Acc: 0.030468850402124256
Epoach at 129/300, Train loss: 0.847015617365059, Acc: 0.028464027820238075
Epoach at 130/300, Train loss: 0.8444500213220545, Acc: 0.028380198979718566
Epoach at 131/300, Train loss: 0.8561459980702557, Acc: 0.024228769096530454
Epoach at 132/300, Train loss: 0.8858968487986634, Acc: 0.021066846233766
Epoach at 133/300, Train loss: 0.8642862872051109, Acc: 0.0274681049534697
Epoach at 134/300, Train loss: 0.8390256183723399, Acc: 0.026191064884865646
Epoach at 135/300, Train loss: 0.8310068220057297, Acc: 0.024180416872617287
Epoach at 136/300, Train loss: 0.8554645151688566, Acc: 0.029674651242376143
Epoach at 137/300, Train loss: 0.8525717788207019, Acc: 0.02709716598816607
Epoach at 138/300, Train loss: 0.8416814316540332, Acc: 0.02459555666151013
Epoach at 139/300, Train loss: 0.8455267254902068, Acc: 0.03136983428220588
Epoach at 140/300, Train loss: 0.8446562234256765, Acc: 0.024507879338803197
Epoach at 141/300, Train loss: 0.8306126851211985, Acc: 0.04011876578447115
Epoach at 142/300, Train loss: 0.842400032260558, Acc: 0.022060165690639344
Epoach at 143/300, Train loss: 0.8603603781574307, Acc: 0.030833931289193057
Epoach at 144/300, Train loss: 0.8359555269869378, Acc: 0.02781270373820803
Epoach at 145/300, Train loss: 0.8510282761663526, Acc: 0.03009838106700235
Epoach at 146/300, Train loss: 0.8442183051171328, Acc: 0.03203102069097599
Epoach at 147/300, Train loss: 0.8467060050476661, Acc: 0.026868068058464905
Epoach at 148/300, Train loss: 0.8567120416416302, Acc: 0.030667424855794784
Epoach at 149/300, Train loss: 0.8563224517519444, Acc: 0.02560388244548331
Epoach at 150/300, Train loss: 0.8721274677597655, Acc: 0.025819131856527344
Epoach at 151/300, Train loss: 0.8643352434398751, Acc: 0.030261643957667023
Epoach at 152/300, Train loss: 0.8390944994670592, Acc: 0.023050151581377312
Epoach at 153/300, Train loss: 0.8276814021543026, Acc: 0.030148992914657852
Epoach at 154/300, Train loss: 0.8574313350501563, Acc: 0.028735621826437036
Epoach at 155/300, Train loss: 0.8448362541008559, Acc: 0.029341854540239274
Epoach at 156/300, Train loss: 0.8294723862569932, Acc: 0.031357919402583215
Epoach at 157/300, Train loss: 0.8371243337094619, Acc: 0.027487795459608146
Epoach at 158/300, Train loss: 0.847258003468366, Acc: 0.028587819820827642
Epoach at 159/300, Train loss: 0.8361517426334444, Acc: 0.0370611956722795
Epoach at 160/300, Train loss: 0.861254416747746, Acc: 0.032614991830603166
Epoach at 161/300, Train loss: 0.8601581451699002, Acc: 0.03235409706540783
Epoach at 162/300, Train loss: 0.8580928568547437, Acc: 0.030508449134420405
Epoach at 163/300, Train loss: 0.8273108326264447, Acc: 0.02494117054198436
Epoach at 164/300, Train loss: 0.8387874344871148, Acc: 0.02795987972235884
Epoach at 165/300, Train loss: 0.8438312164041364, Acc: 0.03129050468933352
Epoach at 166/300, Train loss: 0.8408286493076373, Acc: 0.026340759721304452
Epoach at 167/300, Train loss: 0.8224467642465485, Acc: 0.02356447367360224
Epoach at 168/300, Train loss: 0.836267212533027, Acc: 0.0265783188740684
Epoach at 169/300, Train loss: 0.8512265048043411, Acc: 0.02660890475528399
Epoach at 170/300, Train loss: 0.8457936763246732, Acc: 0.03080400368672781
Epoach at 171/300, Train loss: 0.8391107982164154, Acc: 0.024609779813984763
Epoach at 172/300, Train loss: 0.8671622045428041, Acc: 0.03039927034952021
Epoach at 173/300, Train loss: 0.8404230061993025, Acc: 0.023112015738782084
Epoach at 174/300, Train loss: 0.853449490750713, Acc: 0.029883937647321963
Epoach at 175/300, Train loss: 0.8613030294150908, Acc: 0.02369518092781764
Epoach at 176/300, Train loss: 0.8443464514322682, Acc: 0.02538695571471434
Epoach at 177/300, Train loss: 0.8496796348641976, Acc: 0.0299902878160357
Epoach at 178/300, Train loss: 0.8303184696009877, Acc: 0.02288636520272065
Epoach at 179/300, Train loss: 0.8668058236453527, Acc: 0.023610557986774493
Epoach at 180/300, Train loss: 0.8406758435162951, Acc: 0.027926147937041783
Epoach at 181/300, Train loss: 0.8566151310522052, Acc: 0.02391801615571507
Epoach at 182/300, Train loss: 0.829127682277021, Acc: 0.03091213227151211
Epoach at 183/300, Train loss: 0.8830488168413902, Acc: 0.02881977538957612
Epoach at 184/300, Train loss: 0.8507960680026715, Acc: 0.0309797505406359
Epoach at 185/300, Train loss: 0.8291449291563482, Acc: 0.029384505909186828
Epoach at 186/300, Train loss: 0.8132474046722185, Acc: 0.028511552689790515
Epoach at 187/300, Train loss: 0.8494920043335857, Acc: 0.026392441511768918
Epoach at 188/300, Train loss: 0.8730442834082371, Acc: 0.02876836267992271
Epoach at 189/300, Train loss: 0.8529116321131401, Acc: 0.027345777463848097
Epoach at 190/300, Train loss: 0.8534572743793631, Acc: 0.022445277183489987
Epoach at 191/300, Train loss: 0.8257135068633282, Acc: 0.03395138144064881
Epoach at 192/300, Train loss: 0.8542040430140079, Acc: 0.021095714852163952
Epoach at 193/300, Train loss: 0.8532559124438265, Acc: 0.022796325003575035
Epoach at 194/300, Train loss: 0.8457998526113201, Acc: 0.026794101896965163
Epoach at 195/300, Train loss: 0.8473117156462155, Acc: 0.028707635095773072
Epoach at 196/300, Train loss: 0.8686548017581156, Acc: 0.029941929540875555
Epoach at 197/300, Train loss: 0.8254507661802006, Acc: 0.028082315791821112
Epoach at 198/300, Train loss: 0.8686185094762536, Acc: 0.022407190303931266
Epoach at 199/300, Train loss: 0.8314552257987408, Acc: 0.020341486283688957
Epoach at 200/300, Train loss: 0.8351961811938265, Acc: 0.024748503688724065
Epoach at 201/300, Train loss: 0.8529415731680262, Acc: 0.021748995123403437
Epoach at 202/300, Train loss: 0.8412197383724367, Acc: 0.032845956490181086
Epoach at 203/300, Train loss: 0.8503794501754444, Acc: 0.031132357494273476
Epoach at 204/300, Train loss: 0.8526762674184207, Acc: 0.023779383115965697
